Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
10GS,2.5.1.18,2,2.5,2.5.1,2.5.1.18
148L,3.2.1.17,3,3.2,3.2.1,3.2.1.17
1A26,2.4.2.-,2,2.4,2.4.2,2.4.2.-
1A2Z,3.4.19.3,3,3.4,3.4.19,3.4.19.3
1A4I,6.3.4.3,1,1.1,1.1.1,1.1.1.22
1A7X,5.2.1.8,5,5.2,5.2.1,5.2.1.8
1A8R,3.5.4.16,3,3.5,3.5.4,3.5.4.16
1AB8,4.6.1.1,4,4.6,4.6.1,4.6.1.1
1ACM,2.1.3.2,2,2.1,2.1.3,2.1.3.2
1AFK,4.6.1.18,4,4.6,4.6.1,4.6.1.18
1AFR,1.14.19.2,1,1.14,1.14.19,1.14.19.2
1AJ8,2.3.3.16,2,2.3,2.3.3,2.3.3.16
1ARZ,1.17.1.8,1,1.17,1.17.1,1.17.1.8
1AV8,1.17.4.1,1,1.17,1.17.4,1.17.4.1
1AZ0,3.1.21.4,4,4.6,4.6.1,4.6.1.2
1B04,6.5.1.2,6,6.5,6.5.1,6.5.1.2
1B65,3.4.11.19,3,3.5,3.5.1,3.4.11.-
1B8F,4.3.1.3,4,4.3,4.3.1,4.3.1.3
1B8U,1.1.1.37,1,1.1,1.1.1,1.1.1.37
1BDF,2.7.7.6,2,2.7,2.7.7,2.7.7.6
1BH5,4.4.1.5,4,4.4,4.4.1,4.4.1.5
1BH6,3.4.21.62,3,3.4,3.4.21,3.4.21.62
1BN8,4.2.2.2,4,4.2,4.2.2,4.2.2.2
1BOB,2.3.1.48,2,2.3,2.3.1,2.3.1.48
1BS1,6.3.3.3,6,6.3,6.3.3,6.3.3.3
1C1H,4.99.1.9,4,4.99,4.99.1,4.99.1.9
1C22,3.4.11.18,3,3.4,3.4.11,3.4.11.18
1C4T,2.3.1.61,2,2.3,2.3.1,2.3.1.61
1C5I,3.2.1.8,3,3.2,3.2.1,3.2.1.8
1CFR,3.1.21.4,3,3.1,3.1.21,3.1.21.4
1CHD,3.5.1.44,3,3.1,3.1.3,3.4.21.53
1CI0,1.4.3.5,1,1.4,1.4.3,1.4.3.5
1CLU,3.6.5.2,3,3.6,3.6.5,3.6.5.2
1CNQ,3.1.3.11,3,3.1,3.1.3,3.1.3.11
1CP2,1.18.6.1,1,1.18,1.18.6,1.18.6.1
1CX1,3.2.1.4,3,3.2,3.2.1,3.2.1.39
1D3Y,5.6.2.2,5,5.6,5.6.2,5.6.2.2
1DCP,4.2.1.96,4,4.2,4.2.1,4.2.1.96
1DD7,1.14.13.39,1,1.14,1.14.13,1.14.13.39
1DVE,1.14.14.18,1,1.14,1.14.14,1.14.14.18
1DW9,4.2.1.104,4,4.2,4.2.1,4.2.1.104
1E2I,2.7.1.21,2,2.7,2.7.1,2.7.1.21
1EHW,2.7.4.6,2,2.7,2.7.4,2.7.4.6
1EPV,5.1.1.1,5,5.1,5.1.1,5.1.1.1
1ESW,2.4.1.25,2,2.4,2.4.1,2.4.1.25
1EX7,2.7.4.8,2,2.7,2.7.4,2.7.4.8
1EXG,3.2.1.8,3,3.2,3.2.1,3.2.1.14
1EYP,5.5.1.6,5,5.5,5.5.1,5.5.1.6
1F17,1.1.1.35,1,1.1,1.1.1,1.1.1.35
1F4R,3.2.2.21,3,4.6,4.6.1,3.2.1.14
1F8G,7.1.1.1,7,7.1,7.1.1,7.1.1.1
1FCV,3.2.1.35,3,3.2,3.2.1,3.2.1.35
1FFQ,3.2.1.14,3,3.2,3.2.1,3.2.1.14
1FLC,3.1.1.53,3,2.7,3.2.2,2.1.1.86
1FQO,3.5.99.6,3,3.5,3.5.99,3.5.99.6
1FTH,2.7.8.7,2,2.7,2.7.8,2.7.8.7
1FTR,2.3.1.101,2,2.3,2.3.1,2.3.1.101
1FYD,6.3.1.5,6,6.3,6.3.1,6.3.1.5
1G6C,2.5.1.3,2,2.5,2.5.1,2.5.1.3
1GMP,4.6.1.24,4,4.6,4.6.1,4.6.1.24
1GOQ,3.2.1.8,3,3.2,3.2.1,3.2.1.8
1GOY,3.1.27.-,3,3.1,3.1.27,3.1.27.-
1GQO,4.2.1.10,4,4.2,4.2.1,4.2.1.10
1GSA,6.3.2.3,6,6.3,6.3.2,6.3.2.3
1GYD,3.2.1.55,3,3.2,3.2.1,3.2.1.99
1H6Y,3.2.1.8,3,3.2,3.2.1,3.2.1.1
1HKA,2.7.6.3,2,2.7,2.7.6,2.7.6.3
1HYO,3.7.1.2,3,3.7,3.7.1,3.7.1.2
1I4S,3.1.26.3,3,3.1,3.1.26,3.1.26.3
1I9Y,3.1.3.36,3,3.1,3.1.3,3.1.3.36
1IAJ,2.7.11.1,2,2.7,2.7.11,2.7.11.1
1IHO,6.3.2.1,6,6.3,6.3.2,6.3.2.1
1ITQ,3.5.2.6,3,3.4,3.4.13,3.4.13.19
1IU4,2.3.2.13,3,3.2,3.2.1,3.2.2.22
1IYL,2.3.1.97,2,2.3,2.3.1,2.3.1.97
1J9K,3.1.3.5,3,3.1,3.1.3,3.1.3.5
1JCL,4.1.2.4,4,4.1,4.1.2,4.1.2.4
1JHF,3.4.21.88,3,3.4,3.4.21,3.4.21.88
1JKK,2.7.11.1,2,2.7,2.7.11,2.7.11.18
1JQ6,3.4.21.97,1,1.3,1.3.7,1.3.7.5
1JR8,1.8.3.2,1,1.8,1.8.3,1.8.3.2
1JYO,3.1.3.48,2,7.1,2.1.1,2.1.1.148
1K04,2.7.10.2,2,2.3,2.3.2,2.3.2.27
1K54,3.5.2.6,3,3.5,3.5.2,3.5.2.6
1KAZ,3.6.4.10,3,3.6,3.6.4,3.6.4.10
1KGY,2.7.10.1,3,3.2,2.7.10,2.7.10.1
1KSH,3.1.4.17,3,3.1,2.1.1,3.6.4.-
1KUL,3.2.1.3,3,3.2,3.2.1,3.2.1.14
1LK7,5.3.1.6,5,5.3,5.3.1,5.3.1.6
1LW1,1.11.1.28,1,1.11,1.11.1,1.11.1.28
1LWB,3.1.1.4,3,3.1,3.1.1,3.1.1.4
1LZS,3.2.1.17,3,3.2,3.2.1,3.2.1.17
1M0D,3.1.21.2,3,3.1,3.1.21,3.1.21.4
1MA1,1.15.1.1,1,1.15,1.15.1,1.15.1.1
1MHM,4.1.1.50,7,7.1,7.1.2,7.1.2.2
2ILX,3.1.4.37,3,3.1,3.1.4,3.1.4.37
1NLN,3.4.22.39,3,3.4,3.4.22,3.4.22.39
1NZ0,3.1.26.5,3,3.1,3.1.26,3.1.26.5
1NZ7,3.1.3.48,3,3.1,3.1.3,3.1.3.48
1O59,3.5.3.4,3,3.5,3.5.3,3.5.3.4
1O6C,5.1.3.14,5,5.1,5.1.3,5.1.3.14
1OG1,3.2.2.5,2,2.4,2.4.2,2.4.2.31
1ONH,3.5.2.6,3,3.5,3.5.2,3.5.2.6
1OTW,1.3.3.11,1,1.3,1.3.3,1.3.3.11
1OXM,3.1.1.74,3,3.1,3.1.1,3.1.1.74
1P5R,2.8.3.16,2,2.8,2.8.3,2.8.3.16
1PFK,2.7.1.11,2,2.7,2.7.1,2.7.1.11
1PKK,3.5.4.30,3,3.5,3.5.4,3.5.4.30
1PLO,2.7.11.30,4,4.6,4.6.1,4.6.1.18
1X82,5.3.1.9,5,5.3,5.3.1,5.3.1.9
1PNF,3.5.1.52,3,3.2,3.2.1,3.5.1.52
1QCS,3.6.4.6,3,3.6,2.7.7,3.6.4.-
1QD6,3.1.1.4,2,2.4,2.4.1,2.4.1.-
1QEZ,3.6.1.1,3,3.6,3.6.1,3.6.1.1
1QGO,4.99.1.3,4,4.99,4.99.1,4.99.1.3
1QLE,7.1.1.9,7,7.1,7.1.1,7.1.1.9
1QMH,6.5.1.4,6,6.5,6.5.1,6.5.1.4
1QR7,2.5.1.54,2,2.5,2.5.1,2.5.1.54
1QWY,3.4.24.75,3,3.4,3.4.24,3.4.24.75
1R47,3.2.1.22,3,3.2,3.2.1,3.2.1.22
1R8K,1.1.1.262,1,1.1,1.1.1,1.1.1.262
1RDS,4.6.1.24,4,4.6,4.6.1,4.6.1.24
1RHY,4.2.1.19,4,4.2,4.2.1,4.2.1.19
1RI1,2.1.1.56,2,2.1,2.1.1,2.1.1.56
1RN8,3.6.1.23,3,3.6,3.6.1,3.6.1.23
1ROZ,2.5.1.46,2,2.5,2.5.1,2.5.1.46
1SBY,1.1.1.1,1,1.1,1.1.1,1.1.1.1
1SQE,1.14.99.48,1,1.14,1.14.99,1.14.99.48
1SQF,2.1.1.176,2,2.1,2.1.1,2.1.1.176
1STH,3.1.31.1,3,3.1,3.1.31,3.1.31.1
1T3W,2.7.7.101,1,1.14,1.18.6,1.18.6.1
1T6U,1.15.1.1,1,1.15,1.8.3,1.15.1.1
1THE,3.4.22.1,3,3.4,3.4.22,3.4.22.1
1TJW,4.3.2.1,4,4.3,4.3.2,4.3.2.1
1TKU,4.1.99.12,4,4.1,4.1.99,4.1.99.12
1TS9,3.1.26.5,3,3.1,3.1.26,3.1.26.5
1U72,1.5.1.3,1,1.5,1.5.1,1.5.1.3
1UJK,3.4.23.-,2,2.4,2.3.2,2.3.2.27
1V0Y,3.1.4.4,3,3.1,3.1.4,3.1.4.4
1V7L,4.2.1.33,4,4.2,4.2.1,4.2.1.33
1V83,2.4.1.135,2,2.4,2.4.1,2.4.1.135
2ISB,4.2.1.2,4,4.2,4.2.1,4.2.1.32
1VPT,2.1.1.57,2,2.1,2.1.1,2.1.1.57
1VR7,4.1.1.50,4,4.1,4.1.1,4.1.1.50
1W6V,3.4.19.12,2,2.3,3.4.22,2.3.2.-
1WN2,3.1.1.29,3,3.1,3.1.1,3.1.1.29
1WOP,2.1.2.10,2,2.1,2.1.2,2.1.2.10
1WXC,1.14.18.1,1,1.14,1.14.18,1.14.18.1
1X55,6.1.1.22,6,6.1,6.1.1,6.1.1.22
2A29,7.2.2.6,2,2.7,3.1.27,3.1.27.-
1X6U,2.5.1.55,2,2.5,2.5.1,2.5.1.55
1XCO,2.3.1.8,2,2.3,2.3.1,2.3.1.8
1XNY,6.4.1.3,6,6.4,6.4.1,6.4.1.3
1XTB,5.3.1.9,5,5.3,5.3.1,5.3.1.9
1Y44,3.1.26.11,3,3.1,3.1.26,3.1.26.11
1Y5N,1.7.5.1,1,1.7,1.7.5,1.7.5.1
1YBU,4.6.1.1,4,4.6,4.6.1,4.6.1.1
1YDY,3.1.4.46,3,3.1,3.1.4,3.1.4.46
1YLE,2.3.1.109,2,2.3,2.3.1,2.3.1.109
1YRT,4.6.1.1,2,2.8,2.4.2,2.4.2.31
1YTM,4.1.1.49,4,4.1,4.1.1,4.1.1.49
1Z88,3.1.3.2,3,3.1,3.1.3,3.1.3.2
1ZAJ,4.1.2.13,4,4.1,4.1.2,4.1.2.13
1ZDF,2.4.1.186,2,2.4,2.4.1,2.4.1.186
1ZPS,3.5.4.19,3,3.5,3.5.4,3.5.4.19
1ZVF,1.13.11.6,1,1.13,1.13.11,1.13.11.6
2AHC,4.1.3.40,4,4.1,4.1.3,4.1.3.40
2AKA,3.6.5.5,1,1.11,1.11.1,1.11.1.7
2AMU,1.15.1.2,1,1.15,1.15.1,1.15.1.2
2B99,2.5.1.9,2,2.5,2.5.1,2.5.1.9
2BOG,3.2.1.4,3,3.2,3.2.1,3.2.1.4
2C6Z,3.5.3.18,3,3.5,3.5.3,3.5.3.18
2CHT,5.4.99.5,5,5.4,5.4.99,5.4.99.5
2CQU,5.3.3.8,2,2.1,2.1.1,2.5.1.58
2CR9,2.4.2.-,2,2.1,2.1.1,2.1.1.57
2CU1,2.7.11.25,2,2.7,2.7.7,2.3.2.-
2D5U,3.5.1.52,2,2.7,2.7.7,2.7.7.6
2DQB,3.1.5.1,3,3.1,3.1.5,3.1.5.1
2DTN,2.5.1.-,2,2.5,2.5.1,2.5.1.-
2DZB,2.5.1.15,2,2.5,2.5.1,2.5.1.15
2E4J,5.3.99.2,5,5.3,5.3.99,5.3.99.2
2E5M,1.1.1.42,1,1.1,1.1.1,1.1.1.42
2EKG,1.5.5.2,1,1.5,1.5.5,1.5.5.2
2EWO,3.5.3.12,3,3.5,3.5.3,3.5.3.12
2F8A,1.11.1.9,1,1.11,1.11.1,1.11.1.9
2FUG,7.1.1.-,7,7.1,7.1.1,7.1.1.-
2FZS,3.4.21.92,3,3.4,3.4.21,3.4.21.92
2GFX,2.3.1.179,2,2.3,2.3.1,2.3.1.179
2GZ3,1.2.1.11,1,1.2,1.2.1,1.2.1.11
2H2N,3.6.1.6,3,3.6,3.6.1,3.6.1.6
2H2W,2.3.1.31,2,2.3,2.3.1,2.3.1.31
2H89,1.3.5.1,1,1.10,1.10.3,1.10.3.-
2H8E,3.1.21.10,3,3.1,3.1.21,3.1.21.10
2HXM,3.2.2.27,3,3.2,3.2.2,3.2.2.27
2I4N,6.1.1.15,6,6.1,6.1.1,6.1.1.15
2I56,5.3.1.14,5,5.3,5.3.1,5.3.1.-
2IBN,1.13.99.1,1,1.13,1.13.99,1.13.99.1
2IU4,2.7.1.2,4,4.2,4.2.1,2.7.1.121
2NOX,1.13.11.11,1,1.13,1.13.11,1.13.11.11
2NQD,3.4.22.15,3,3.2,3.2.1,3.1.3.12
2OEC,2.4.2.3,2,2.4,2.4.2,2.4.2.3
2OTN,5.1.1.7,5,5.1,5.1.1,5.1.1.7
2PKN,2.7.1.20,2,2.7,2.7.1,2.7.1.20
2PNO,2.5.1.-,7,7.1,7.1.1,7.1.1.-
2Q71,4.1.1.37,4,4.1,4.1.1,4.1.1.37
2QGN,2.5.1.75,2,2.5,2.5.1,2.5.1.75
2QV6,3.5.4.29,3,3.5,3.5.4,3.5.4.29
2RK2,1.5.1.3,1,1.5,1.5.1,1.5.1.3
2VBV,2.7.1.161,2,2.7,2.7.1,2.7.1.161
2VFC,2.3.1.5,2,2.3,2.3.1,2.3.1.5
2VO1,6.3.4.2,6,6.3,6.3.4,6.3.4.2
2W36,3.1.21.7,3,3.1,3.1.21,3.1.21.7
2YWC,6.3.5.2,6,6.3,6.3.5,6.3.5.2
2YZO,3.1.3.71,3,3.1,3.1.3,3.1.3.71
2Z1S,3.2.1.21,3,3.2,3.2.1,3.2.1.21
2Z3P,2.3.2.6,2,2.3,2.3.2,2.3.2.6
2ZA1,4.1.1.23,4,4.1,4.1.1,4.1.1.23
2ZDQ,6.3.2.4,6,6.3,6.3.2,6.3.2.4
3B3F,2.1.1.319,2,2.1,2.1.1,2.1.1.319
3B6R,2.7.3.2,2,2.7,2.7.3,2.7.3.2
3B9J,1.17.1.4,1,1.17,1.17.1,1.17.1.4
3BQH,1.8.4.12,1,1.8,1.8.4,1.8.4.11
3C2F,2.4.2.19,2,2.4,2.4.2,2.4.2.19
3D4J,4.1.1.33,4,4.1,4.1.1,4.1.1.33
3D4P,1.1.1.27,1,1.1,1.1.1,1.1.1.27
3ECR,2.5.1.61,2,2.5,2.5.1,2.5.1.61
3EFV,1.2.1.-,1,1.2,1.2.1,1.2.1.79
3ELN,1.13.11.20,1,1.13,1.13.11,1.13.11.20
3EPZ,2.1.1.37,1,1.18,1.18.6,1.18.6.1
3ERG,2.5.1.18,2,2.5,2.5.1,2.5.1.18
4F10,4.2.2.3,4,4.2,4.2.2,4.2.2.3
3EZI,2.7.13.3,5,3.1,3.1.4,5.4.99.5
3GDL,4.1.1.23,4,4.1,4.1.1,4.1.1.23
3HIT,3.2.2.22,3,3.2,3.2.2,3.2.2.22
3MAN,3.2.1.78,3,3.2,3.2.1,3.2.1.78
3TS1,6.1.1.1,6,6.1,6.1.1,6.1.1.1
5AT1,2.1.3.2,2,2.7,2.7.7,2.7.7.6
