Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0A0A7EQR3,3.1.1.117,3,3.1,3.1.1,3.1.1.117
C8VJQ3,4.1.99.-,1,1.14,1.14.18,1.14.18.1
G5EFE7,2.4.1.68,2,2.4,2.4.1,2.4.1.68
J7GQ11,4.1.1.25,4,4.1,4.1.1,4.1.1.11
O15488,2.4.1.186,2,2.4,2.4.1,2.4.1.186
O22893,2.4.1.123,2,2.4,2.4.1,2.4.1.-
P00743,3.4.21.6,3,3.4,3.4.21,3.4.21.-
P05189,1.21.3.1,1,1.14,1.14.11,1.14.11.-
P18640,3.4.24.69,3,3.4,3.4.24,3.4.24.69
P32960,5.1.1.10,5,5.1,5.1.1,5.1.1.3
P37173,2.7.11.30,2,2.7,2.7.11,2.7.11.30
P45395,5.3.1.13,5,5.3,5.3.1,5.3.1.13
P50998,3.5.4.6,3,3.5,3.5.4,3.5.4.6
P76621,1.14.11.64,1,1.14,1.14.11,1.14.11.-
P87175,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P93028,6.2.1.45,6,6.2,6.2.1,6.2.1.45
Q02111,2.7.11.13,2,2.7,2.7.11,2.7.11.13
Q03042,2.7.11.12,2,2.7,2.7.11,2.7.11.12
Q03649,3.1.1.23,3,3.1,3.1.1,3.1.1.-
Q08642,3.5.3.15,3,3.5,3.5.3,3.5.3.15
Q08BS4,2.1.1.356,2,2.1,2.1.1,2.1.1.356
Q08IS0,2.8.5.2,2,2.8,2.8.5,2.8.5.2
Q0WL81,6.5.1.3,2,2.7,6.5.1,2.7.7.-
Q16613,2.3.1.87,2,2.3,2.3.1,2.3.1.-
Q16698,1.3.1.124,1,1.3,1.3.1,1.3.1.124
Q18801,4.2.1.47,4,4.2,4.2.1,4.2.1.47
Q27571,1.14.13.39,1,1.14,1.14.13,1.14.13.39
Q32KD2,2.1.1.355,2,2.1,2.1.1,2.1.1.354
Q38920,2.5.1.58,2,2.5,2.5.1,2.5.1.58
Q3UMC0,3.6.4.10,3,3.6,3.6.4,3.6.4.10
Q42290,3.4.24.64,3,3.4,3.4.24,3.4.24.64
Q4WVG0,2.7.11.13,2,2.7,2.7.11,2.7.11.13
