Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0A0B4K692-2,3.4.24.11,3,3.4,3.4.24,3.4.24.11
A0A0K3AUJ9-2,1.11.1.24,1,1.11,1.11.1,1.11.1.24
A0A0K3AUJ9-3,1.11.1.24,1,1.11,1.11.1,1.11.1.24
A0A0K3AV08-2,2.7.11.25,2,2.7,2.7.11,2.7.11.1
A0A0K3AV08-3,2.7.11.25,2,2.7,2.7.11,2.7.11.1
A0A0K3AV08-4,2.7.11.25,2,2.7,2.7.11,2.7.11.1
A0A0P0XCU3-2,2.4.1.21,2,2.3,2.4.1,2.1.1.-
A0A1D6E0S8-2,2.7.11.1,3,3.1,3.1.1,3.2.2.22
A0AVI4-2,2.3.2.27,2,2.3,2.3.1,2.1.1.86
A0AVT1-2,6.2.1.45,6,6.2,6.2.1,6.2.1.45
A0AVT1-3,6.2.1.45,6,6.2,6.2.1,6.2.1.64
A0AVT1-4,6.2.1.45,6,6.2,6.2.1,6.2.1.64
A0JPF9-2,2.7.7.40,2,2.7,2.7.7,2.7.7.40
A0JPF9-3,2.7.7.40,2,2.7,2.7.7,2.7.7.40
A1A6M1-2,5.3.4.1,5,3.2,3.2.1,3.2.2.6
A1Z7T0-2,2.7.11.13,2,2.7,2.7.11,2.7.11.13
A1Z9X0-2,2.7.11.13,2,2.7,2.7.11,2.7.11.13
A1Z9X0-3,2.7.11.13,2,2.7,2.7.11,2.7.11.13
A1Z9X0-4,2.7.11.13,2,2.7,2.7.11,2.7.11.13
A1Z9X0-5,2.7.11.13,2,2.7,2.7.11,2.7.11.13
A2A5Z6-2,2.3.2.26,2,2.3,2.3.2,2.3.2.26
A2AAJ9-2,2.7.11.1,2,2.7,2.7.11,2.7.11.18
A2AAJ9-3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A2AJK6-2,3.6.4.12,3,4.2,4.2.1,4.2.1.-
A2AJK6-3,3.6.4.12,3,3.6,3.6.4,3.6.4.12
A2AN08-2,2.3.2.27,2,2.3,2.3.2,2.3.2.27
A2AN08-3,2.3.2.27,2,2.7,2.7.11,2.7.11.1
